companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Eaton Vance Tax-Advantaged Global Dividend Income Fund,ETG,12/22/2022,12/30/2022,12/23/2022,0.1,1.5,12/01/2022
Eaton Vance Tax-Managed Buy-Write Income Fund,ETB,12/22/2022,12/30/2022,12/23/2022,0.093,1.266,12/01/2022
Eaton Vance Corporation,ETV,12/22/2022,12/30/2022,12/23/2022,0.095,1.298,12/01/2022
Eaton Vance Tax-Managed Buy-Write Strategy Fund,EXD,12/22/2022,12/30/2022,12/23/2022,0.071,0.85,12/01/2022
Eaton Vance Corporation,ETW,12/22/2022,12/30/2022,12/23/2022,0.058,0.843,12/01/2022
Eaton Vance Tax-Managed Global Diversified Equity Income Fund,EXG,12/22/2022,12/30/2022,12/23/2022,0.055,0.8,12/01/2022
Federated Hermes Premier Municipal Income Fund,FMN,12/22/2022,01/03/2023,12/23/2022,0.041,0.557,12/12/2022
"First Guaranty Bancshares, Inc.",FGBI,12/22/2022,12/30/2022,12/23/2022,0.16,0.64,11/21/2022
FS Credit Opportunities Corp.,FSCO,12/22/2022,12/30/2022,12/23/2022,0.049,0.593,11/18/2022
First Trust,FFA,12/22/2022,12/30/2022,12/23/2022,0.315,1.26,12/12/2022
"The Hackett Group, Inc.",HCKT,12/22/2022,01/06/2023,12/23/2022,0.11,0.44,11/08/2022
Highland Global Allocation Fund,HGLB,12/22/2022,12/30/2022,12/23/2022,0.081,0.972,10/03/2022
Highland Income Fund,HFRO,12/22/2022,12/30/2022,12/23/2022,0.077,0.924,12/01/2022
JOYY Inc.,YY,12/22/2022,01/13/2023,12/23/2022,0.507,2.03,11/28/2022
Macquarie Global Infrastructure Total Return Fund Inc.,MGU,12/22/2022,12/30/2022,12/23/2022,0.13,1.44,12/02/2022
OFS Capital Corporation,OFS,12/22/2022,12/30/2022,12/23/2022,0.3,1.2,11/01/2022
Putnam Premier Income Trust,PPT,12/22/2022,01/03/2023,12/23/2022,0.026,0.312,11/18/2022
"RiverNorth Flexible Municipal Income Fund, Inc.",RFM,12/22/2022,12/30/2022,12/23/2022,0.04,1.274,12/13/2022
TIM S.A.,TIMB,12/22/2022,01/31/2023,12/23/2022,0.141,0.51,N/A
"Tortoise Power and Energy Infrastructure Fund, Inc",TPZ,12/22/2022,12/30/2022,12/23/2022,0.105,1.215,12/12/2022
World Fuel Services Corporation,INT,12/22/2022,01/06/2023,12/23/2022,0.14,0.56,12/09/2022
Albany International Corporation,AIN,12/23/2022,01/09/2023,12/27/2022,0.25,1.0,12/09/2022
Balchem Corporation,BCPC,12/23/2022,01/20/2023,12/27/2022,0.71,0.71,12/06/2022
Banco BBVA Argentina S.A.,BBAR,12/23/2022,01/04/2023,12/27/2022,0.016,0.191,12/16/2022
Bank of South Carolina Corp.,BKSC,12/23/2022,01/31/2023,12/27/2022,0.17,0.68,12/15/2022
Comp En De Mn Cemig ADS,CIG,12/23/2022,N/A,N/A,0.029,0.029,N/A
Creative Media & Community Trust Corporation,CMCT,12/23/2022,01/09/2023,12/27/2022,0.085,0.34,12/15/2022
ConocoPhillips,COP,12/23/2022,01/13/2023,12/27/2022,0.7,2.04,11/03/2022
Elbit Systems Ltd.,ESLT,12/23/2022,01/09/2023,12/27/2022,0.416,1.664,11/28/2022
Independent Bank Corp.,INDB,12/23/2022,01/06/2023,12/27/2022,0.55,2.2,12/08/2022
"Korea Fund, Inc. (The)",KF,12/23/2022,01/09/2023,12/27/2022,3.319,3.319,12/16/2022
MainStay CBRE Global Infrastructure Megatrends Fund,MEGI,12/23/2022,12/30/2022,12/27/2022,0.108,1.3,12/14/2022
"New York Mortgage Trust, Inc.",NYMT,12/23/2022,01/26/2023,12/27/2022,0.1,0.4,12/12/2022
Portland General Electric Company,POR,12/23/2022,01/17/2023,12/27/2022,0.452,1.81,10/21/2022
"Vail Resorts, Inc.",MTN,12/23/2022,01/10/2023,12/27/2022,1.91,7.64,12/08/2022
"John Wiley & Sons, Inc.",WLY,12/23/2022,01/11/2023,12/27/2022,0.347,1.39,12/15/2022
"Zimmer Biomet Holdings, Inc.",ZBH,12/23/2022,01/31/2023,12/27/2022,0.24,0.96,12/15/2022
"Amazon.com, Inc.",AMZN,12/27/2022,01/09/2023,12/28/2022,0.2,0.2,12/20/2022
American Tower Corporation (REIT),AMT,12/27/2022,02/02/2023,12/28/2022,1.56,6.24,12/08/2022
American Vanguard Corporation,AVD,12/27/2022,01/11/2023,12/28/2022,0.03,0.12,12/12/2022
Apple Inc.,AAPL,12/27/2022,01/09/2023,12/28/2022,0.167,0.667,12/20/2022
"Armada Hoffler Properties, Inc.",AHH,12/27/2022,01/05/2023,12/28/2022,0.19,0.76,11/04/2022
Canadian Imperial Bank of Commerce,CM,12/27/2022,01/27/2023,12/28/2022,0.634,2.534,12/01/2022
"China Fund, Inc. (The)",CHN,12/27/2022,01/10/2023,12/28/2022,0.675,0.675,12/16/2022
ClearBridge Large Cap Growth ESG ETF,LRGE,12/27/2022,12/30/2022,12/28/2022,0.73,0.732,12/15/2021
CME Group Inc.,CME,12/27/2022,01/18/2023,12/28/2022,4.5,4.0,12/08/2022
Cohen & Steers Quality Income Realty Fund Inc.,RQI,12/27/2022,01/09/2023,12/28/2022,0.237,1.197,12/13/2022
Finward Bancorp,FNWD,12/27/2022,01/06/2023,12/28/2022,0.31,1.24,11/29/2022
"Flexsteel Industries, Inc.",FLXS,12/27/2022,01/09/2023,12/28/2022,0.15,0.6,12/13/2022
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,12/27/2022,01/06/2023,12/28/2022,0.375,1.5,11/03/2022
"International Flavors & Fragrances, Inc.",IFF,12/27/2022,01/06/2023,12/28/2022,0.81,3.24,12/14/2022
PGIM Short Duration High Yield Opportunities Fund,SDHY,12/27/2022,01/06/2023,12/28/2022,0.108,1.296,11/30/2022
"PGIM Global High Yield Fund, Inc.",GHY,12/27/2022,01/06/2023,12/28/2022,0.105,1.26,11/30/2022
"PGIM High Yield Bond Fund, Inc.",ISD,12/27/2022,01/06/2023,12/28/2022,0.105,1.26,11/30/2022
Prospect Capital Corporation,PSEC,12/27/2022,01/19/2023,12/28/2022,0.06,0.72,11/09/2022
Seanergy Maritime Holdings Corp,SHIP,12/27/2022,01/30/2023,12/28/2022,0.025,0.1,11/30/2022
Toro Company (The),TTC,12/27/2022,01/11/2023,12/28/2022,0.34,1.36,12/13/2022
ArrowMark Financial Corp.,BANX,12/28/2022,01/05/2023,12/29/2022,0.49,1.56,12/16/2022
BlackRock TCP Capital Corp.,TCPC,12/28/2022,01/12/2023,12/29/2022,0.05,1.28,12/15/2022
"BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, ",DCF,12/28/2022,01/13/2023,12/29/2022,0.05,0.6,12/14/2022
BNY Mellon High Yield Strategies Fund,DHF,12/28/2022,01/13/2023,12/29/2022,0.015,0.219,12/14/2022
CVB Financial Corporation,CVBF,12/28/2022,01/13/2023,12/29/2022,0.2,0.8,12/14/2022
Eaton Vance Senior Income Trust,EVF,12/28/2022,01/13/2023,12/29/2022,0.05,0.498,12/19/2022
InvenTrust Properties Corp.,IVT,12/28/2022,01/13/2023,12/29/2022,0.205,0.821,12/12/2022
JBG SMITH Properties,JBGS,12/28/2022,01/12/2023,12/29/2022,0.225,0.9,12/15/2022
"Northern Oil and Gas, Inc.",NOG,12/28/2022,01/31/2023,12/29/2022,0.3,1.2,11/03/2022
"TPG RE Finance Trust, Inc.",TRTX,12/28/2022,01/25/2023,12/29/2022,0.24,0.96,12/09/2022
Xcel Energy Inc.,XEL,12/28/2022,01/20/2023,12/29/2022,0.488,1.95,12/14/2022
abrdn Global Infrastructure Income Fund,ASGI,12/29/2022,01/11/2023,12/30/2022,0.12,1.405,12/09/2022
abrdn Global Dynamic Dividend Fund,AGD,12/29/2022,01/11/2023,12/30/2022,0.065,0.78,12/09/2022
abrdn Global Premier Properties Fund,AWP,12/29/2022,01/11/2023,12/30/2022,0.04,0.48,12/09/2022
abrdn Income Credit Strategies Fund,ACP,12/29/2022,01/11/2023,12/30/2022,0.1,1.2,12/09/2022
abrdn Total Dynamic Dividend Fund,AOD,12/29/2022,01/11/2023,12/30/2022,0.058,0.69,12/09/2022
Acadia Realty Trust,AKR,12/29/2022,01/13/2023,12/30/2022,0.18,0.72,11/09/2022
"AFC Gamma, Inc.",AFCG,12/29/2022,01/13/2023,12/31/2022,0.56,2.24,12/15/2022
"AG Mortgage Investment Trust, Inc.",MITT,12/29/2022,01/31/2023,12/30/2022,0.18,0.72,12/20/2022
AGNC Investment Corp.,AGNC,12/29/2022,01/11/2023,12/30/2022,0.12,1.44,12/09/2022
Agree Realty Corporation,ADC,12/29/2022,01/13/2023,12/30/2022,0.24,2.88,12/13/2022
"Alexandria Real Estate Equities, Inc.",ARE,12/29/2022,01/13/2023,12/30/2022,1.21,4.84,12/05/2022
Algonquin Power & Utilities Corp.,AQN,12/29/2022,01/13/2023,12/30/2022,0.181,0.723,11/11/2022
"Alico, Inc.",ALCO,12/29/2022,01/13/2023,12/30/2022,0.05,0.2,12/12/2022
Amdocs Limited,DOX,12/29/2022,01/27/2023,12/30/2022,0.395,1.58,11/08/2022
"Americold Realty Trust, Inc.",COLD,12/29/2022,01/13/2023,12/30/2022,0.22,0.88,12/06/2022
Ameris Bancorp,ABCB,12/29/2022,01/09/2023,12/31/2022,0.15,0.6,12/12/2022
Annaly Capital Management Inc.,NLY,12/29/2022,01/31/2023,12/30/2022,0.88,3.52,12/08/2022
Apollo Commercial Real Estate Finance,ARI,12/29/2022,01/13/2023,12/30/2022,0.35,1.4,12/13/2022
"Apple Hospitality REIT, Inc.",APLE,12/29/2022,01/17/2023,12/30/2022,0.16,0.96,12/20/2022
Ares Commercial Real Estate Corporation,ACRE,12/29/2022,01/18/2023,12/30/2022,0.35,1.32,11/02/2022
"ATN International, Inc.",ATNI,12/29/2022,01/06/2023,12/31/2022,0.21,0.84,12/19/2022
"AvalonBay Communities, Inc.",AVB,12/29/2022,01/17/2023,12/30/2022,1.59,6.36,11/10/2022
Axis Capital Holdings Limited,AXS,12/29/2022,01/18/2023,12/30/2022,0.44,1.76,12/08/2022
"B&G Foods, Inc.",BGS,12/29/2022,01/30/2023,12/30/2022,0.19,0.76,11/09/2022
"Bain Capital Specialty Finance, Inc.",BCSF,12/29/2022,01/27/2023,12/31/2022,0.36,1.44,11/09/2022
BancFirst Corporation,BANF,12/29/2022,01/16/2023,12/31/2022,0.4,1.6,11/17/2022
BanColombia S.A.,CIB,12/29/2022,01/19/2023,12/30/2022,0.654,2.618,12/20/2022
Barings Corporate Investors,MCI,12/29/2022,01/20/2023,12/30/2022,0.28,1.02,12/15/2022
"Benchmark Electronics, Inc.",BHE,12/29/2022,01/13/2023,12/30/2022,0.165,0.66,12/12/2022
Blackstone Secured Lending Fund,BXSL,12/29/2022,01/31/2023,12/31/2022,0.6,2.4,11/10/2022
"Capital Trust, Inc.",BXMT,12/29/2022,01/13/2023,12/30/2022,0.62,2.48,12/15/2022
"Boston Properties, Inc.",BXP,12/29/2022,01/30/2023,12/30/2022,0.98,3.92,12/19/2022
Braemar Hotels & Resorts Inc.,BHR,12/29/2022,01/17/2023,12/30/2022,0.05,0.2,12/08/2022
Broadmark Realty Capital Inc.,BRMK,12/29/2022,01/17/2023,12/30/2022,0.035,0.42,12/15/2022
"Broadstone Net Lease, Inc.",BNL,12/29/2022,01/15/2023,12/31/2022,0.275,1.1,11/02/2022
BRP Inc.,DOOO,12/29/2022,01/13/2023,12/30/2022,0.119,0.477,11/29/2022
Calamos Long/Short Equity & Dynamic Income Trust,CPZ,12/29/2022,01/13/2023,12/30/2022,0.14,1.96,12/19/2022
Calamos Strategic Total Return Fund,CSQ,12/29/2022,01/13/2023,12/30/2022,0.102,1.332,12/19/2022
Calamos Convertible Opportunities and Income Fund,CHI,12/29/2022,01/13/2023,12/30/2022,0.095,1.235,12/19/2022
Calamos Dynamic Convertible & Income Fund,CCD,12/29/2022,01/13/2023,12/30/2022,0.195,2.535,12/19/2022
Calamos Global Dynamic Income Fund,CHW,12/29/2022,01/13/2023,12/30/2022,0.05,0.83,12/19/2022
Calamos Global Total Return Fund,CGO,12/29/2022,01/13/2023,12/30/2022,0.08,1.22,12/19/2022
Canterbury Park Holding Corporation,CPHC,12/29/2022,01/13/2023,12/30/2022,0.07,0.28,12/19/2022
"Carlyle Secured Lending, Inc.",CGBD,12/29/2022,01/16/2023,12/30/2022,0.44,1.44,10/31/2022
Canadian Pacific Railway Limited,CP,12/29/2022,01/30/2023,12/30/2022,0.14,0.559,10/26/2022
D/B/A Centerspace,CSR,12/29/2022,01/12/2023,01/02/2023,0.73,2.92,12/02/2022
Chatham Lodging Trust (REIT),CLDT,12/29/2022,01/17/2023,12/30/2022,0.07,0.84,12/08/2022
Cherry Hill Mortgage Investment Corporation,CHMI,12/29/2022,01/31/2023,12/30/2022,0.27,1.08,12/16/2022
"Chicago Atlantic Real Estate Finance, Inc.",REFI,12/29/2022,01/13/2023,12/30/2022,0.76,1.88,12/15/2022
Chimera Investment Corporation,CIM,12/29/2022,01/31/2023,12/30/2022,0.23,0.92,11/17/2022
CI Financial Corp.,CIXX,12/29/2022,01/13/2023,12/30/2022,0.134,0.537,08/10/2022
CION Investment Corporation,CION,12/29/2022,01/31/2023,12/30/2022,0.27,1.24,12/20/2022
"Claros Mortgage Trust, Inc.",CMTG,12/29/2022,01/13/2023,12/30/2022,0.37,1.48,12/15/2022
Colliers International Group Inc. ,CIGI,12/29/2022,01/13/2023,12/30/2022,0.15,0.3,12/06/2022
Corporate Office Properties Trust,OFC,12/29/2022,01/17/2023,12/30/2022,0.275,1.1,11/10/2022
"Crescent Capital BDC, Inc.",CCAP,12/29/2022,01/17/2023,12/30/2022,0.41,1.64,11/09/2022
Cross Timbers Royalty Trust,CRT,12/29/2022,01/17/2023,12/30/2022,0.15,1.804,12/19/2022
Danaher Corporation,DHR,12/29/2022,01/27/2023,12/30/2022,0.25,1.0,12/06/2022
Deere & Company,DE,12/29/2022,02/08/2023,12/30/2022,1.2,4.8,12/07/2022
DENTSPLY SIRONA Inc.,XRAY,12/29/2022,01/13/2023,12/30/2022,0.125,0.5,12/15/2022
Diamondrock Hospitality Company,DRH,12/29/2022,01/12/2023,12/30/2022,0.06,0.12,12/07/2022
"DigitalBridge Group, Inc.",DBRG,12/29/2022,01/17/2023,12/31/2022,0.01,0.04,11/03/2022
"Dillard's, Inc.",DDS,12/29/2022,01/30/2023,12/30/2022,0.2,0.8,11/17/2022
"Douglas Emmett, Inc.",DEI,12/29/2022,01/18/2023,12/30/2022,0.19,0.76,12/08/2022
"Duff & Phelps Utilities Income, Inc.",DNP,12/29/2022,01/10/2023,12/30/2022,0.065,0.845,09/22/2022
"EastGroup Properties, Inc.",EGP,12/29/2022,01/13/2023,12/30/2022,1.25,5.0,12/01/2022
Edison International,EIX,12/29/2022,01/31/2023,12/30/2022,0.738,2.95,12/08/2022
Ellington Financial Inc.,EFC,12/29/2022,01/25/2023,12/30/2022,0.15,1.8,12/07/2022
Ellington Residential Mortgage REIT,EARN,12/29/2022,01/25/2023,12/30/2022,0.08,0.96,12/07/2022
Embecta Corp.,EMBC,12/29/2022,01/11/2023,12/30/2022,0.15,0.6,12/20/2022
"The Ensign Group, Inc.",ENSG,12/29/2022,01/31/2023,12/31/2022,0.058,0.23,12/16/2022
EPR Properties,EPR,12/29/2022,01/17/2023,12/30/2022,0.275,3.3,12/15/2022
"Equity Bancshares, Inc.",EQBK,12/29/2022,01/17/2023,12/30/2022,0.1,0.4,12/14/2022
"Equity Lifestyle Properties, Inc.",ELS,12/29/2022,01/13/2023,12/30/2022,0.41,1.64,10/27/2022
ESAB Corporation,ESAB,12/29/2022,01/13/2023,12/30/2022,0.05,0.2,12/14/2022
"Essential Properties Realty Trust, Inc.",EPRT,12/29/2022,01/13/2023,12/30/2022,0.275,1.1,11/30/2022
"Farmers & Merchants Bancorp, Inc.",FMAO,12/29/2022,01/20/2023,12/30/2022,0.21,0.84,12/20/2022
Farmland Partners Inc.,FPI,12/29/2022,01/17/2023,01/02/2023,0.06,0.24,10/24/2022
Fifth Third Bancorp,FITB,12/29/2022,01/17/2023,12/30/2022,0.33,1.32,12/13/2022
First Bancorp,FBNC,12/29/2022,01/25/2023,12/31/2022,0.22,0.88,12/15/2022
"First Industrial Realty Trust, Inc.",FR,12/29/2022,01/17/2023,12/31/2022,0.295,1.18,11/01/2022
First Internet Bancorp,INBK,12/29/2022,01/17/2023,12/30/2022,0.06,0.24,12/20/2022
FirstService Corporation,FSV,12/29/2022,01/06/2023,12/30/2022,0.203,0.81,11/29/2022
Flowserve Corporation,FLS,12/29/2022,01/13/2023,12/30/2022,0.2,0.8,12/12/2022
FMC Corporation,FMC,12/29/2022,01/19/2023,12/30/2022,0.58,2.32,12/14/2022
"Four Corners Property Trust, Inc.",FCPT,12/29/2022,01/13/2023,12/30/2022,0.34,1.36,11/14/2022
"Franklin BSP Realty Trust, Inc.",FBRT,12/29/2022,01/11/2023,12/30/2022,0.355,1.42,12/19/2022
"Franklin Resources, Inc.",BEN,12/29/2022,01/13/2023,12/30/2022,0.3,1.2,12/13/2022
First Trust High Yield Opportunities 2027 Term Fund,FTHY,12/29/2022,01/25/2023,12/30/2022,0.127,1.747,12/20/2022
First Trust Intermediate Duration Preferred & Income Fund,FPF,12/29/2022,01/17/2023,12/30/2022,0.112,1.71,12/20/2022
The Gabelli Dividend & Income Trust,GDV,12/29/2022,01/06/2023,12/30/2022,0.09,1.32,12/20/2022
"Goldman Sachs BDC, Inc.",GSBD,12/29/2022,01/27/2023,12/30/2022,0.45,1.8,11/03/2022
Granite Construction Incorporated,GVA,12/29/2022,01/13/2023,12/30/2022,0.13,0.52,12/09/2022
Granite Point Mortgage Trust Inc.,GPMT,12/29/2022,01/17/2023,12/30/2022,0.2,0.8,12/20/2022
Granite Real Estate Inc.,GRP.U,12/29/2022,01/17/2023,12/30/2022,0.199,2.386,12/16/2022
Greystone Housing Impact Investors LP,GHI,12/29/2022,01/31/2023,12/30/2022,0.67,1.48,12/19/2022
Hersha Hospitality Trust,HT,12/29/2022,01/18/2023,12/30/2022,0.55,0.2,12/15/2022
Hingham Institution for Savings,HIFS,12/29/2022,01/11/2023,01/02/2023,1.26,2.52,11/21/2022
Host Hotels ,HST,12/29/2022,01/17/2023,12/30/2022,0.32,0.48,12/15/2022
Humana Inc.,HUM,12/29/2022,01/27/2023,12/30/2022,0.788,3.15,10/27/2022
Illinois Tool Works Inc.,ITW,12/29/2022,01/12/2023,12/30/2022,1.31,5.24,10/28/2022
"Independence Realty Trust, Inc.",IRT,12/29/2022,01/20/2023,12/30/2022,0.14,0.56,12/12/2022
"INDUS Realty Trust, Inc.",INDT,12/29/2022,01/17/2023,12/30/2022,0.18,0.72,12/06/2022
Ingredion Incorporated,INGR,12/29/2022,01/24/2023,01/02/2023,0.71,2.84,12/16/2022
"Innovative Industrial Properties, Inc.",IIPR,12/29/2022,01/13/2023,12/30/2022,1.8,7.2,12/15/2022
John Hancock Preferred Income Fund,HPI,12/29/2022,01/31/2023,12/30/2022,0.123,1.605,12/20/2022
Kennedy-Wilson Holdings Inc.,KW,12/29/2022,01/05/2023,12/30/2022,0.24,0.96,11/02/2022
Kilroy Realty Corporation,KRC,12/29/2022,01/11/2023,12/30/2022,0.54,2.16,12/07/2022
KKR Real Estate Finance Trust Inc.,KREF,12/29/2022,01/13/2023,12/30/2022,0.43,1.72,12/13/2022
Ladder Capital Corp,LADR,12/29/2022,01/17/2023,12/31/2022,0.23,0.92,12/15/2022
"Lennox International, Inc.",LII,12/29/2022,01/13/2023,12/30/2022,1.06,4.24,12/09/2022
"Lincoln Electric Holdings, Inc.",LECO,12/29/2022,01/13/2023,12/31/2022,0.64,2.56,10/18/2022
"Lument Finance Trust, Inc.",LFT,12/29/2022,01/17/2023,12/30/2022,0.06,0.24,12/15/2022
LXP Industrial Trust,LXP,12/29/2022,01/17/2023,12/30/2022,0.125,0.5,11/03/2022
"Manhattan Bridge Capital, Inc",LOAN,12/29/2022,01/17/2023,12/30/2022,0.125,0.5,12/09/2022
"McCormick & Company, Incorporated",MKC,12/29/2022,01/09/2023,12/30/2022,0.39,1.56,11/29/2022
"McCormick & Company, Incorporated",MKC.V,12/29/2022,01/09/2023,12/30/2022,0.39,1.56,11/29/2022
Mesa Royalty Trust,MTR,12/29/2022,01/31/2023,12/30/2022,0.201,2.414,12/20/2022
"MFA Financial, Inc.",MFA,12/29/2022,01/31/2023,12/30/2022,0.35,1.4,12/14/2022
Modiv Inc.,MDV,12/29/2022,01/25/2023,12/30/2022,0.096,1.15,08/18/2022
"Mondelez International, Inc.",MDLZ,12/29/2022,01/13/2023,12/30/2022,0.385,1.54,12/09/2022
"Monolithic Power Systems, Inc.",MPWR,12/29/2022,01/13/2023,12/30/2022,0.75,3.0,12/15/2022
National Fuel Gas Company,NFG,12/29/2022,01/13/2023,12/30/2022,0.475,1.9,12/02/2022
"National Health Investors, Inc.",NHI,12/29/2022,01/27/2023,12/30/2022,0.9,3.6,11/08/2022
National Research Corporation,NRC,12/29/2022,01/13/2023,12/30/2022,0.12,0.48,11/11/2022
"New Germany Fund, Inc. (The)",GF,12/29/2022,01/27/2023,12/30/2022,0.043,0.768,12/20/2022
Nucor Corporation,NUE,12/29/2022,02/10/2023,12/30/2022,0.51,2.04,12/14/2022
Nutrien Ltd.,NTR,12/29/2022,01/13/2023,12/30/2022,0.48,1.92,11/03/2022
OFG Bancorp,OFG,12/29/2022,01/17/2023,12/30/2022,0.2,0.8,10/28/2022
"Orchid Island Capital, Inc.",ORC,12/29/2022,01/27/2023,12/30/2022,0.16,1.92,12/13/2022
Orion Office REIT Inc.,ONL,12/29/2022,01/17/2023,12/30/2022,0.1,0.4,11/01/2022
Osisko Gold Royalties Ltd.,OR,12/29/2022,01/16/2023,12/30/2022,0.041,0.164,11/09/2022
Owl Rock Capital Corporation,ORCC,12/29/2022,01/13/2023,12/30/2022,0.33,1.32,11/02/2022
"Paramount Group, Inc.",PGRE,12/29/2022,01/13/2023,12/30/2022,0.078,0.31,12/15/2022
Park Hotels & Resorts Inc.,PK,12/29/2022,01/17/2023,12/30/2022,0.25,1.0,12/07/2022
Pebblebrook Hotel Trust,PEB,12/29/2022,01/17/2023,12/30/2022,0.01,0.04,12/15/2022
PennyMac Mortgage Investment Trust,PMT,12/29/2022,01/27/2023,12/30/2022,0.4,1.6,12/07/2022
Permian Basin Royalty Trust,PBT,12/29/2022,01/17/2023,12/30/2022,0.038,0.452,12/19/2022
Permianville Royalty Trust,PVL,12/29/2022,01/17/2023,12/30/2022,0.058,0.696,12/16/2022
PermRock Royalty Trust,PRT,12/29/2022,01/17/2023,12/30/2022,0.081,0.969,12/19/2022
"Plymouth Industrial REIT, Inc.",PLYM,12/29/2022,01/31/2023,12/30/2022,0.22,0.88,12/15/2022
"Pioneer Floating Rate Fund, Inc.",PHD,12/29/2022,01/09/2023,12/30/2022,0.085,0.855,12/19/2022
Primoris Services Corporation,PRIM,12/29/2022,01/13/2023,12/30/2022,0.06,0.24,11/03/2022
Ralph Lauren Corporation,RL,12/29/2022,01/13/2023,12/30/2022,0.75,3.0,12/16/2022
Ready Capital Corporation,RC,12/29/2022,01/31/2023,12/30/2022,0.4,1.6,12/15/2022
Regal Rexnord Corporation,RRX,12/29/2022,01/13/2023,12/30/2022,0.35,1.4,10/28/2022
"REV Group, Inc.",REVG,12/29/2022,01/13/2023,12/30/2022,0.05,0.2,12/14/2022
"Rexford Industrial Realty, Inc.",REXR,12/29/2022,01/17/2023,12/30/2022,0.315,1.26,10/19/2022
Rithm Capital Corp.,RITM,12/29/2022,01/27/2023,12/30/2022,0.25,1.0,12/15/2022
RLJ Lodging Trust,RLJ,12/29/2022,01/17/2023,12/31/2022,0.05,0.2,12/15/2022
"Ryman Hospitality Properties, Inc.",RHP,12/29/2022,01/17/2023,12/30/2022,0.25,1.0,12/09/2022
Safehold Inc.,SAFE,12/29/2022,01/13/2023,12/30/2022,0.177,0.708,12/15/2022
San Juan Basin Royalty Trust,SJT,12/29/2022,01/17/2023,12/30/2022,0.096,1.156,12/19/2022
SL Green Realty Corp,SLG,12/29/2022,01/17/2023,12/30/2022,0.271,3.25,12/05/2022
"Spirit Realty Capital, Inc.",SRC,12/29/2022,01/13/2023,12/30/2022,0.663,2.652,11/04/2022
"Stag Industrial, Inc.",STAG,12/29/2022,01/17/2023,12/30/2022,0.122,1.46,10/12/2022
Stantec Inc,STN,12/29/2022,01/17/2023,12/30/2022,0.134,0.537,11/10/2022
"STARWOOD PROPERTY TRUST, INC.",STWD,12/29/2022,01/13/2023,12/30/2022,0.48,1.92,12/09/2022
Stryker Corporation,SYK,12/29/2022,01/31/2023,12/30/2022,0.75,3.0,12/07/2022
"Sun Communities, Inc.",SUI,12/29/2022,01/17/2023,12/30/2022,0.88,3.52,12/01/2022
"Sunstone Hotel Investors, Inc.",SHO,12/29/2022,01/17/2023,12/30/2022,0.05,0.2,11/07/2022
TC Energy Corporation,TRP,12/29/2022,01/31/2023,12/30/2022,0.668,2.674,11/09/2022
"TCW Strategic Income Fund, Inc.",TSI,12/29/2022,01/13/2023,12/30/2022,0.153,0.484,12/16/2022
Terreno Realty Corporation,TRNO,12/29/2022,01/13/2023,12/30/2022,0.4,1.6,11/02/2022
TFI International Inc.,TFII,12/29/2022,01/16/2023,12/30/2022,0.35,1.4,10/27/2022
"European Equity Fund, Inc. (The)",EEA,12/29/2022,01/27/2023,12/30/2022,0.145,0.87,12/20/2022
"Third Coast Bancshares, Inc.",TCBX,12/29/2022,01/17/2023,12/31/2022,17.25,17.25,12/15/2022
"Thor Industries, Inc.",THO,12/29/2022,01/13/2023,12/30/2022,0.45,1.8,12/15/2022
TotalEnergies SE,TTE,12/29/2022,01/25/2023,12/30/2022,0.529,2.116,11/28/2022
Towne Bank,TOWN,12/29/2022,01/12/2023,12/30/2022,0.23,0.92,11/28/2022
Tricon Residential Inc.,TCN,12/29/2022,01/15/2023,12/31/2022,0.058,0.232,11/08/2022
Trinity Capital Inc.,TRIN,12/29/2022,01/13/2023,12/30/2022,0.61,1.84,12/15/2022
U.S. Bancorp,USB,12/29/2022,01/17/2023,12/30/2022,0.48,1.92,12/13/2022
"Valmont Industries, Inc.",VMI,12/29/2022,01/17/2023,12/30/2022,0.55,2.2,11/01/2022
Vermilion Energy Inc.,VET,12/29/2022,01/16/2023,12/30/2022,0.06,0.239,11/09/2022
Virtus Global Multi-Sector Income Fund,VGI,12/29/2022,01/10/2023,12/30/2022,0.08,1.04,11/17/2022
Virtus Total Return Fund Inc.,ZTR,12/29/2022,01/10/2023,12/30/2022,0.08,1.04,11/17/2022
Vox Royalty Corp.,VOXR,12/29/2022,01/13/2023,12/30/2022,0.01,0.04,11/15/2022
Voya Asia Pacific High Dividend Equity Income Fund,IAE,12/29/2022,01/17/2023,12/30/2022,0.215,1.075,12/15/2022
Voya Global Advantage and Premium Opportunity Fund,IGA,12/29/2022,01/17/2023,12/30/2022,0.197,0.985,12/15/2022
"Voya Infrastructure, Industrials and Materials Fund",IDE,12/29/2022,01/17/2023,12/30/2022,0.229,1.145,12/15/2022
Voya Emerging Markets High Income Dividend Equity Fund,IHD,12/29/2022,01/17/2023,12/30/2022,0.18,0.9,12/15/2022
Voya Global Equity Dividend and Premium Opportunity Fund,IGD,12/29/2022,01/17/2023,12/30/2022,0.04,0.52,12/15/2022
Virtus Convertible & Income 2024 Target Term Fund,CBH,12/29/2022,01/10/2023,12/30/2022,0.091,0.552,12/20/2022
